Número;Gis_X;Gis_Y;Fecha de Alta;Distrito;Barrio;Calle;Nº Finca;Tipo de Reserva;Número de Plazas;;LONGITUD;LATITUD;DIRECCION
168;440948,66;4472895,98;14/10/2019;02  ARGANZUELA;02-06 PALOS DE MOGUER;SANTA MARIA DE LA CABEZA, PASEO, DE;32;BiciMAD;24;;-3.69591592521647;40.4045829072803; PASEO DE SANTA MARIA DE LA CABEZA, 32
169;439424,51;4472574,58;22/08/2019;02  ARGANZUELA;02-02 ACACIAS;TOLEDO, CALLE, DE;181;BiciMAD;24;;-3.71384603495226;40.4015780876676; CALLE DE TOLEDO, 181
170;440225,41;4472515,53;03/07/2019;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;21;BiciMAD;24;;-3.70440304204774;40.4011040154422; PASEO DE LA ESPERANZA, 21
171;440730,53;4472361,66;03/07/2019;02  ARGANZUELA;02-05 DELICIAS;EMBAJADORES, CALLE, DE;97;BiciMAD;24;;-3.69843664064398;40.399753983711; CALLE DE EMBAJADORES, 97
172;441146,63;4472482,09;02/10/2019;02  ARGANZUELA;02-06 PALOS DE MOGUER;BUSTAMANTE, CALLE, DE;1;BiciMAD;24;;-3.69354475702508;40.4008683916389; CALLE DE BUSTAMANTE, 1
173;440396,07;4472189,13;22/08/2019;02  ARGANZUELA;02-02 ACACIAS;ESPERANZA, PASEO, DE LA;59;BiciMAD;24;;-3.70236151429629;40.3981758743262; PASEO DE LA ESPERANZA, 59
174;440049,63;4472109,49;10/09/2019;02  ARGANZUELA;02-02 ACACIAS;YESERIAS, PASEO, DE LAS;8;BiciMAD;27;;-3.70643610595758;40.3974335698009; PASEO DE LAS YESERIAS, 8
175;440738,36;4471970,78;25/06/2019;02  ARGANZUELA;02-03 CHOPERA;JAIME EL CONQUISTADOR, CALLE, DE;30;BiciMAD;21;;-3.69830799524925;40.3962332942252; CALLE DE JAIME EL CONQUISTADOR, 30
176;441133,61;4471746,54;18/06/2019;02  ARGANZUELA;02-05 DELICIAS;ALICANTE, CALLE, DE;3;BiciMAD;24;;-3.69363017200199;40.3942412540086; CALLE DE ALICANTE, 3
177;441092,45;4471442,79;18/06/2019;02  ARGANZUELA;02-05 DELICIAS;BOLIVAR, CALLE, DE;3;BiciMAD;24;;-3.69408703536021;40.3915020037968; CALLE DE BOLIVAR, 3
178;442386,66;4472704,6;20/02/2020;03  RETIRO;03-01 PACÍFICO;LEON GIL DE PALACIO, CALLE, DE;2;BiciMAD;24;;-3.67895301493538;40.402959602966; CALLE DE LEON GIL DE PALACIO, 2
